ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,,Address,Delivery time,Food type,,,,,,,,,,,,,,,,,,,,,,
3830,Koregaon Park,Pune,Prem'S,1200,4.2,100,,Koregaon Park,53,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
3835,Deccan Gymkhana,Pune,The Chocolate Room,450,2.9,80,,Fc Road,39,Desserts,Continental,,,,,,,,,,,,,,,,,,,,,
3855,Koregaon Park,Pune,Uncle'S Chinese,350,4.1,1000,,Koregaon Park,55,Chinese,Thai,,,,,,,,,,,,,,,,,,,,,
3889,Jayanagar,Bangalore,House Of Kebab'S,500,3.7,50,,Rv Road,51,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
3914,Karkhana,Hyderabad,Oh So Stoned,300,3.9,100,,Vikrampuri Colony,68,Ice Cream  Desserts,,,,,,,,,,,,,,,,,,,,,,
4051,Kothrud,Pune,Zest Cafe Bar,250,4.2,20,,Ideal Chambers  Kothrud,57,Chinese,Fast Food,,,,,,,,,,,,,,,,,,,,,
4064,Koregaon Park,Pune,Seven - Shawarma And Burgers,250,3.9,100,,Koregaon Park,51,Lebanese,Fast Food,,,,,,,,,,,,,,,,,,,,,
4086,Kothrud,Pune,Rushhrs,250,4.3,100,,Karishma Housing Society,46,Salads,Healthy Food,,,,,,,,,,,,,,,,,,,,,
4087,Erandwane,Pune,Aroma'S Hyderabad House - Karve Road,400,4.2,500,,Karve Road,35,Biryani,Mughlai,,,,,,,,,,,,,,,,,,,,,
4138,Koti,Hyderabad,Grand Hotel,300,4.1,10000,,Abids Road,24,Biryani,Tandoor,,,,,,,,,,,,,,,,,,,,,
4188,Dilsukhnagar,Hyderabad,Tipsy Topsy,250,3.7,500,,Dilsukhnagar Main Road,39,Chinese  Italian  Desserts  Bakery  Fast Food,,,,,,,,,,,,,,,,,,,,,,
4248,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,300,3.9,1000,,Alkapuri X Roads,67,Biryani,Chinese,,,,,,,,,,,,,,,,,,,,,
4252,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,300,3.8,1000,,L B Nagar,70,Biryani,Chinese,,,,,,,,,,,,,,,,,,,,,
4256,Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,300,3.8,100,,Lakshmi Nagar Colony,52,Biryani,Chinese,,,,,,,,,,,,,,,,,,,,,
4320,Narayanguda,Hyderabad,Mehfil,300,3.9,10000,,Narayanguda,25,Biryani,Tandoor,,,,,,,,,,,,,,,,,,,,,
4338,Fc Road,Pune,The Burger Barn Cafe,300,4.1,100,,Ghole Road,46,American,Fast Food,,,,,,,,,,,,,,,,,,,,,
4429,Park Street Area,Kolkata,Sip & Sandwich,300,2.9,80,,Park Street,60,Pastas  Beverages  Fast Food,,,,,,,,,,,,,,,,,,,,,,
4430,Beniapukur,Kolkata,Shiraz Golden Restaurant,500,4.4,1000,,Park Street,52,Biryani,Mughlai,,,,,,,,,,,,,,,,,,,,,
4484,Park Street Area,Kolkata,Mocambo,1500,4.4,1000,,Park Street,62,North Indian,Biryani,,,,,,,,,,,,,,,,,,,,,
4558,Bidhannagar,Kolkata,The Scoop,400,4.1,100,,Sector 1,70,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
4565,Bidhannagar,Kolkata,Kaafila,1600,3.9,50,,Sector 1,71,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
4587,Bidhannagar,Kolkata,Ranjan'S,200,4.2,100,,Sector 3,56,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
4599,Bidhannagar,Kolkata,Balle Balle Dhaba,500,4.1,1000,,Sector 1,59,North Indian,Punjabi,,,,,,,,,,,,,,,,,,,,,
4600,Bidhannagar,Kolkata,Le Coffee Creme,600,3.9,50,,Sector 1,68,Combo,Chinese,,,,,,,,,,,,,,,,,,,,,
4614,Himayatnagar,Hyderabad,Crystal Restaurant,350,3.9,1000,,Rtc X Roads,34,Biryani,North Indian,,,,,,,,,,,,,,,,,,,,,
4650,New Nallakunta,Hyderabad,Bawarchi,300,3.9,10000,,Rtc X Roads,27,Biryani,Tandoor,,,,,,,,,,,,,,,,,,,,,
4739,Sivanchetti Gardens,Bangalore,The Grill House - Steaks & Sizzlers,1100,4.2,100,,Kensington Point,52,American,Steakhouse,,,,,,,,Pastas,Pizzas,Lebanese,,,,,,,,,,,
4774,Adikmet,Hyderabad,Us Pizza,200,3.2,20,,O.U Road,48,Italian,Pizzas,,,,,,,,,,,,,,,,,,,,,
4776,Amberpet,Hyderabad,Surabhi Grand,300,4,500,,Tilaknagar,45,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
4781,Himayatnagar,Hyderabad,Bluedragon By Mandilicious,300,4.2,20,,Himayathnagar,34,Chinese,,,,,,,,,,,,,,,,,,,,,,
4783,Adikmet,Hyderabad,Frosty Den,200,2.2,20,,O.U Road,43,Ice Cream,Pizzas,,,,,,,,,,,,,,,,,,,,,
4810,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,300,3.6,100,,Road No 12,62,Biryani,Chinese,,,,,,,,,,,,,,,,,,,,,
4841,Karve Nagar,Pune,Cheesiano Pizza,500,3.9,100,,Karvenagar,52,Italian,Pizzas,,,,,,,,,,,,,,,,,,,,,
4853,Domlur,Bangalore,Venus Biryani,200,4.1,500,,3Rd Cross,49,Biryani,,,,,,,,,,,,,,,,,,,,,,
